#{"t_start": 1751877080.5379992, "env_id": "None"}
r,l,t
-214.604103,200,3.966561
-186.047506,200,4.117276
-193.095274,200,4.259673
-214.248953,200,4.409136
-190.050717,200,4.547265
-188.410423,200,4.687642
-188.476516,200,4.834943
-182.555522,200,4.978081
-182.384687,200,5.120833
-195.661867,200,5.265573
-192.570944,200,6.552515
-189.936668,200,6.694783
-181.126972,200,6.856028
-190.596043,200,7.020351
-202.208516,200,7.17151
-187.529906,200,7.323341
-180.872754,200,7.475745
-198.08094,200,7.641138
-189.916484,200,7.814861
-182.761184,200,7.977776
-186.010349,200,9.19305
-180.817514,200,9.342758
-182.044389,200,9.495416
-185.606905,200,9.644827
-175.71378,200,9.794823
-211.422527,200,9.940095
-204.995058,200,10.083168
-180.723242,200,10.238401
-186.469419,200,10.394948
-187.978751,200,10.553992
-201.456101,200,11.774762
-178.86163,200,11.860235
-178.809278,200,11.948876
-183.214294,200,12.029144
-186.323652,200,12.103641
-183.416069,200,12.177469
-172.868432,200,12.245416
-181.98985,200,12.314098
-176.776865,200,12.382051
-185.157518,200,12.451276
-177.620391,200,13.107946
-177.302618,200,13.193243
-177.006012,200,13.275546
-181.896765,200,13.349535
-174.920574,200,13.423584
-172.534119,200,13.498659
-180.350814,200,13.573633
-170.938763,200,13.645939
-179.764334,200,13.718166
-176.399287,200,13.787054
-169.694008,200,13.85927
-171.402846,200,14.456495
-179.007237,200,14.536203
-173.099696,200,14.620127
-175.808494,200,14.696911
-177.201913,200,14.771951
-178.321459,200,14.84778
-173.311941,200,14.921919
-203.409604,200,14.996284
-176.713099,200,15.071699
-178.409227,200,15.146873
-176.42505,200,15.716987
-178.972999,200,15.796968
-174.238733,200,15.875312
-171.824946,200,15.951079
-170.370871,200,16.027277
-175.638227,200,16.098946
-169.685755,200,16.172898
-171.300328,200,16.243494
-172.188363,200,16.314268
-166.337803,200,16.387825
-173.94831,200,17.359582
-171.475067,200,17.487778
-168.30387,200,17.604404
-166.40836,200,17.717342
-168.077,200,17.827366
-164.152522,200,17.941936
-164.693604,200,18.056105
-163.096437,200,18.161609
-162.478016,200,18.267244
-163.681439,200,18.369389
-168.146774,200,19.392219
-160.290831,200,19.517173
-163.54645,200,19.641426
-154.216478,200,19.756759
-157.826915,200,19.867771
-156.306943,200,19.973222
-162.529235,200,20.087377
-158.670515,200,20.193828
-158.551799,200,20.301583
-156.255259,200,20.434474
-160.695354,200,20.560948
-152.730226,200,22.163095
-148.242838,200,22.345943
-154.911386,200,22.527333
-148.974433,200,22.716698
-154.976928,200,22.912161
-151.420502,200,23.136584
-148.870126,200,23.314105
-155.532967,200,23.505601
-156.898714,200,23.69958
-150.97272,200,23.876814
-150.061443,200,25.21679
-146.398587,200,25.380355
-155.050624,200,25.552974
-145.90288,200,25.719517
-146.316188,200,25.875617
-140.724764,200,26.04534
-150.33732,200,26.203737
-147.696125,200,26.430493
-143.944402,200,26.58665
-144.985007,200,26.731921
-144.074605,200,27.855831
-139.915544,200,27.932766
-141.646946,200,28.009648
-142.055874,200,28.087004
-146.560962,200,28.161293
-142.567638,200,28.233505
-143.653445,200,28.305134
-140.150846,200,28.377759
-143.798738,200,28.449157
-141.560432,200,28.522081
-140.911158,200,29.206209
-136.786423,200,29.277726
-134.946895,200,29.34648
-134.747834,200,29.422465
-136.958767,200,29.491331
-137.058091,200,29.560141
-137.865779,200,29.629632
-134.686522,200,29.69653
-134.938001,200,29.765795
-135.765973,200,29.837357
-142.49235,200,29.909088
-132.90111,200,30.488925
-131.686028,200,30.559757
-126.539024,200,30.631963
-130.118866,200,30.699927
-130.667407,200,30.767582
-129.049294,200,30.836069
-129.064292,200,30.902669
-130.825495,200,30.970014
-130.585478,200,31.038612
-131.793638,200,31.105576
-126.396715,200,31.639406
-126.631042,200,31.735768
-124.796059,200,31.806877
-125.438229,200,31.875554
-124.570403,200,31.943656
-129.032274,200,32.012378
-127.564956,200,32.079384
-123.802348,200,32.146584
-123.781046,200,32.213277
-127.838072,200,32.281115
-122.454299,200,32.983014
-123.620157,200,33.153982
-123.436028,200,33.260554
-124.435729,200,33.367288
-121.312329,200,33.471421
-121.783956,200,33.57384
-119.452007,200,33.684212
-121.46154,200,33.787048
-129.595316,200,33.900108
-121.729997,200,34.042487
-121.202199,200,35.056707
-115.410528,200,35.18789
-117.703973,200,35.303866
-118.598832,200,35.407743
-118.27925,200,35.516341
-125.839021,200,35.626015
-118.19731,200,35.738995
-117.173233,200,35.854618
-115.849543,200,36.000535
-118.161138,200,36.10374
-119.447888,200,36.206345
-116.88575,200,37.134556
-116.454076,200,37.254132
-115.360748,200,37.35587
-118.126229,200,37.45792
-113.691113,200,37.588189
-116.530446,200,37.847523
-114.273664,200,38.05455
-119.572092,200,38.25635
-118.135361,200,38.442247
-115.783614,200,38.655528
-113.604872,200,40.311411
-115.398634,200,40.512455
-113.004278,200,40.700914
-112.724194,200,40.863621
-116.105635,200,41.030557
-112.88635,200,41.174218
